sido,yyyymm,pm10,sigungu,lung_cancer,copd,lower_respiratory,heart_disease,stroke,precipitation,male_avg_age,female_avg_age,year,month,latitude,longitude
서울,201101,42.0,종로구,140.8,201.3,13670.7,628.9,794.6,8.9,39.5,41.6,2011,1,37.5729,126.9794
서울,201101,43.0,중구,80.3,271.8,14310.8,672.7,778.6,8.9,39.9,41.9,2011,1,37.5641,126.997
서울,201101,47.0,용산구,97.4,191.9,14981.7,558.6,600.8,8.9,39.0,41.1,2011,1,37.5311,126.9814
서울,201101,47.0,성동구,98.4,222.1,15792.6,600.2,652.5,8.9,37.9,39.5,2011,1,37.5509,127.0407
서울,201101,47.0,광진구,122.6,163.5,17627.0,554.9,586.1,8.9,36.9,38.3,2011,1,37.5388,127.0827
서울,201101,46.0,동대문구,107.8,248.4,16367.2,741.5,725.9,8.9,38.7,40.4,2011,1,37.5744,127.0395
서울,201101,46.0,중랑구,94.2,199.7,16272.8,523.9,619.8,8.9,38.0,39.6,2011,1,37.6065,127.0927
서울,201101,39.0,성북구,93.6,225.5,18089.3,600.8,654.0,8.9,37.7,39.6,2011,1,37.6109,127.0273
서울,201101,36.0,강북구,94.8,255.6,14530.5,602.2,744.2,8.9,38.9,41.0,2011,1,37.6396,127.0257
서울,201101,44.0,도봉구,92.7,216.9,15513.7,614.4,654.3,8.9,37.8,39.7,2011,1,37.6688,127.0471
서울,201101,33.0,노원구,99.2,209.5,17451.5,554.4,662.2,8.9,36.2,38.6,2011,1,37.655,127.0778
서울,201101,44.0,은평구,97.4,205.6,17887.7,553.0,631.8,8.9,37.9,39.8,2011,1,37.6027,126.9288
서울,201101,47.0,서대문구,126.4,218.8,13996.7,676.5,766.4,8.9,38.3,40.5,2011,1,37.5794,126.9368
서울,201101,50.0,마포구,102.2,214.9,17961.6,597.2,614.1,8.9,37.3,39.1,2011,1,37.5662,126.9018
서울,201101,41.0,양천구,96.4,234.9,13587.1,583.8,643.3,8.9,36.1,37.9,2011,1,37.5271,126.8561
서울,201101,48.0,강서구,103.0,170.3,18363.2,558.1,627.5,8.9,36.7,38.7,2011,1,37.5509,126.8497
