74개 기초자치단체 / 인구 10만 명당 진단 수 / 201101~202006 월단위,,,,,,,,
,,,,,,,,
,,,,,,,,
연월,시군구코드,시도,시군구,"폐암
(C34)","만성폐쇄성폐질환
(J44)","하기도감염
(J20-22)","허혈성심질환
(I20-22)","뇌졸중
(I60-64)"
201101,11110,서울특별시,종로구,140.8,201.3,13670.7,628.9,794.6
201101,11140,서울특별시,중구,80.3,271.8,14310.8,672.7,778.6
201101,11170,서울특별시,용산구,97.4,191.9,14981.7,558.6,600.8
201101,11200,서울특별시,성동구,98.4,222.1,15792.6,600.2,652.5
201101,11215,서울특별시,광진구,122.6,163.5,17627,554.9,586.1
201101,11230,서울특별시,동대문구,107.8,248.4,16367.2,741.5,725.9
201101,11260,서울특별시,중랑구,94.2,199.7,16272.8,523.9,619.8
201101,11290,서울특별시,성북구,93.6,225.5,18089.3,600.8,654
201101,11305,서울특별시,강북구,94.8,255.6,14530.5,602.2,744.2
201101,11320,서울특별시,도봉구,92.7,216.9,15513.7,614.4,654.3
201101,11350,서울특별시,노원구,99.2,209.5,17451.5,554.4,662.2
201101,11380,서울특별시,은평구,97.4,205.6,17887.7,553,631.8
201101,11410,서울특별시,서대문구,126.4,218.8,13996.7,676.5,766.4
201101,11440,서울특별시,마포구,102.2,214.9,17961.6,597.2,614.1
201101,11470,서울특별시,양천구,96.4,234.9,13587.1,583.8,643.3
201101,11500,서울특별시,강서구,103,170.3,18363.2,558.1,627.5
201101,11530,서울특별시,구로구,99.2,257.3,19272.1,599.6,835.4
201101,11545,서울특별시,금천구,90,227.2,18139.3,536.5,688.5
201101,11560,서울특별시,영등포구,114.2,287.8,16377.2,731.7,780.5
201101,11590,서울특별시,동작구,134.5,205.5,15313.1,641.7,686.1
201101,11620,서울특별시,관악구,111.9,226.6,16107.4,560.8,625
201101,11650,서울특별시,서초구,117.6,194.9,13182.1,734.4,700
201101,11680,서울특별시,강남구,121.8,239.5,12651,577,611.3
201101,11710,서울특별시,송파구,118.7,189.4,15012.1,523.3,601.7
201101,11740,서울특별시,강동구,111.5,164.8,13226.4,578.2,657.6
201101,26110,부산광역시,중구,84.2,215.7,16185.4,946.9,948.9
201101,26140,부산광역시,서구,114,253.8,15563.6,771.1,906.1
201101,26170,부산광역시,동구,109.5,198.2,13621.8,802.6,909.2
201101,26200,부산광역시,영도구,118.7,249.3,16642.6,727.6,796.1
201101,26230,부산광역시,부산진구,98.7,180.2,18550.6,779.2,769.8
201101,26260,부산광역시,동래구,103.6,202.3,18141.5,831.4,819.8
201101,26290,부산광역시,남구,97.9,173.8,17909.6,849.5,802
201101,26320,부산광역시,북구,63.3,184.4,16661,649.1,672.8
201101,26350,부산광역시,해운대구,98.9,315.1,15850.6,769,759.1
201101,26380,부산광역시,사하구,85.8,184.8,17798.1,696.9,775.7
201101,26410,부산광역시,금정구,94.2,219.8,15451.1,851.9,835.8
201101,26440,부산광역시,강서구,81.9,307.4,19895.6,971.7,812.6
201101,26470,부산광역시,연제구,105.9,191.7,15118.6,937.5,854.6
201101,26500,부산광역시,수영구,105.3,195.8,14314.3,937.8,799.7
201101,26530,부산광역시,사상구,97.9,172.9,19664.9,561.3,722.4
201101,26710,부산광역시,기장군,87,235.9,22827.1,830.8,730.8
201101,27110,대구광역시,중구,92.7,364.2,14851.2,902.1,1000
201101,27140,대구광역시,동구,106.4,354,15279.9,604,845.8
201101,27170,대구광역시,서구,76.4,265.5,16893.4,591.1,846.3
201101,27200,대구광역시,남구,70.4,287.4,13297.3,661.8,923.1
201101,27230,대구광역시,북구,97.4,293,20286.8,590.3,826.6
201101,27260,대구광역시,수성구,102.4,267.6,15161.7,690.5,816.6
201101,27290,대구광역시,달서구,95.6,313.4,19010.4,585.6,844.6
201101,27710,대구광역시,달성군,88.7,379.8,20649.2,513.4,854.4
