sido_code,sigungu_code,sido,yyyymm,pm10,sigungu,precipitation,male_avg_age,female_avg_age,year,month,ISO,disease_type,value
11,11110,서울,201101,42.0,종로구,8.9,39.5,41.6,2011,1,KR-11,폐암,140.8
11,11140,서울,201101,43.0,중구,8.9,39.9,41.9,2011,1,KR-11,폐암,80.3
11,11170,서울,201101,47.0,용산구,8.9,39.0,41.1,2011,1,KR-11,폐암,97.4
11,11200,서울,201101,47.0,성동구,8.9,37.9,39.5,2011,1,KR-11,폐암,98.4
11,11215,서울,201101,47.0,광진구,8.9,36.9,38.3,2011,1,KR-11,폐암,122.6
11,11230,서울,201101,46.0,동대문구,8.9,38.7,40.4,2011,1,KR-11,폐암,107.8
11,11260,서울,201101,46.0,중랑구,8.9,38.0,39.6,2011,1,KR-11,폐암,94.2
11,11290,서울,201101,39.0,성북구,8.9,37.7,39.6,2011,1,KR-11,폐암,93.6
11,11305,서울,201101,36.0,강북구,8.9,38.9,41.0,2011,1,KR-11,폐암,94.8
11,11320,서울,201101,44.0,도봉구,8.9,37.8,39.7,2011,1,KR-11,폐암,92.7
11,11350,서울,201101,33.0,노원구,8.9,36.2,38.6,2011,1,KR-11,폐암,99.2
11,11380,서울,201101,44.0,은평구,8.9,37.9,39.8,2011,1,KR-11,폐암,97.4
11,11410,서울,201101,47.0,서대문구,8.9,38.3,40.5,2011,1,KR-11,폐암,126.4
11,11440,서울,201101,50.0,마포구,8.9,37.3,39.1,2011,1,KR-11,폐암,102.2
11,11470,서울,201101,41.0,양천구,8.9,36.1,37.9,2011,1,KR-11,폐암,96.4
11,11500,서울,201101,48.0,강서구,8.9,36.7,38.7,2011,1,KR-11,폐암,103.0
11,11530,서울,201101,44.0,구로구,8.9,37.4,38.8,2011,1,KR-11,폐암,99.2
11,11545,서울,201101,37.0,금천구,8.9,38.1,39.6,2011,1,KR-11,폐암,90.0
11,11560,서울,201101,47.0,영등포구,8.9,38.1,39.7,2011,1,KR-11,폐암,114.2
11,11590,서울,201101,43.0,동작구,8.9,37.6,39.6,2011,1,KR-11,폐암,134.5
11,11620,서울,201101,47.0,관악구,8.9,37.4,39.0,2011,1,KR-11,폐암,111.9
11,11650,서울,201101,46.0,서초구,8.9,36.8,38.2,2011,1,KR-11,폐암,117.6
11,11680,서울,201101,48.0,강남구,8.9,36.4,38.1,2011,1,KR-11,폐암,121.8
11,11710,서울,201101,46.0,송파구,8.9,36.4,37.8,2011,1,KR-11,폐암,118.7
11,11740,서울,201101,42.0,강동구,8.9,36.7,38.7,2011,1,KR-11,폐암,111.5
26,26110,부산,201101,38.0,중구,0.0,42.4,45.3,2011,1,KR-26,폐암,84.2
26,26140,부산,201101,48.75,서구,0.0,41.4,44.6,2011,1,KR-26,폐암,114.0
26,26170,부산,201101,42.0,동구,0.0,41.7,45.2,2011,1,KR-26,폐암,109.5
26,26200,부산,201101,38.0,영도구,0.0,41.0,44.1,2011,1,KR-26,폐암,118.7
26,26230,부산,201101,38.0,부산진구,0.0,39.0,41.4,2011,1,KR-26,폐암,98.7
26,26260,부산,201101,36.0,동래구,0.0,38.3,40.8,2011,1,KR-26,폐암,103.6
26,26290,부산,201101,35.0,남구,0.0,38.7,41.1,2011,1,KR-26,폐암,97.9
26,26320,부산,201101,48.0,북구,0.0,36.9,39.2,2011,1,KR-26,폐암,63.3
26,26350,부산,201101,26.0,해운대구,0.0,37.1,39.4,2011,1,KR-26,폐암,98.9
26,26380,부산,201101,62.0,사하구,0.0,37.6,39.7,2011,1,KR-26,폐암,85.8
26,26410,부산,201101,36.5,금정구,0.0,38.9,41.6,2011,1,KR-26,폐암,94.2
26,26440,부산,201101,41.0,강서구,0.0,40.4,43.2,2011,1,KR-26,폐암,81.9
26,26470,부산,201101,35.0,연제구,0.0,38.7,41.1,2011,1,KR-26,폐암,105.9
26,26500,부산,201101,24.0,수영구,0.0,39.8,42.3,2011,1,KR-26,폐암,105.3
26,26530,부산,201101,57.0,사상구,0.0,37.6,39.6,2011,1,KR-26,폐암,97.9
26,26710,부산,201101,27.0,기장군,0.0,37.9,40.9,2011,1,KR-26,폐암,87.0
27,27110,대구,201101,38.0,중구,1.0,41.0,44.5,2011,1,KR-27,폐암,92.7
27,27140,대구,201101,37.0,동구,1.0,38.3,41.4,2011,1,KR-27,폐암,106.4
27,27170,대구,201101,49.0,서구,1.0,38.9,42.0,2011,1,KR-27,폐암,76.4
27,27200,대구,201101,26.0,남구,1.0,39.8,43.0,2011,1,KR-27,폐암,70.4
27,27230,대구,201101,44.5,북구,1.0,35.3,37.7,2011,1,KR-27,폐암,97.4
27,27260,대구,201101,41.5,수성구,1.0,35.8,39.0,2011,1,KR-27,폐암,102.4
27,27290,대구,201101,48.0,달서구,1.0,35.2,37.7,2011,1,KR-27,폐암,95.6
27,27710,대구,201101,32.0,달성군,1.0,35.9,38.4,2011,1,KR-27,폐암,88.7
28,28110,인천,201101,46.5,중구,7.0,38.6,40.8,2011,1,KR-28,폐암,96.2
28,28140,인천,201101,52.0,동구,7.0,38.7,41.3,2011,1,KR-28,폐암,90.2
28,28170,인천,201101,42.0,남구,7.0,37.7,39.7,2011,1,KR-28,폐암,77.8
28,28185,인천,201101,50.0,연수구,7.0,34.9,36.6,2011,1,KR-28,폐암,85.1
28,28200,인천,201101,46.0,남동구,7.0,35.5,37.2,2011,1,KR-28,폐암,85.8
28,28237,인천,201101,45.0,부평구,7.0,36.1,37.8,2011,1,KR-28,폐암,90.7
28,28245,인천,201101,38.0,계양구,7.0,34.7,36.1,2011,1,KR-28,폐암,80.2
28,28260,인천,201101,50.0,서구,7.0,34.7,35.9,2011,1,KR-28,폐암,83.2
